Experiment Name:,Exp_20241122_1

Tube Name:,Record Time:,Volume(μL):,All Events ,P1 Events,include Events,All Events  Events/μL(V),P1 Events/μL(V),include Events/μL(V),All Events  Mean FSC-H,P1 Mean FSC-H,include Mean FSC-H,All Events  Mean SSC-H,P1 Mean SSC-H,include Mean SSC-H,All Events  Mean Chlorophyll-H,P1 Mean Chlorophyll-H,include Mean Chlorophyll-H,All Events  Mean V-SSC-H,P1 Mean V-SSC-H,include Mean V-SSC-H,All Events  Mean Violet660-H,P1 Mean Violet660-H,include Mean Violet660-H,All Events  Mean PE-H,P1 Mean PE-H,include Mean PE-H,All Events  Mean R-Phycocyanin-H,P1 Mean R-Phycocyanin-H,include Mean R-Phycocyanin-H
01-Well-H6(2),2024-11-22 14:15:08,17.9,0,0,0,0.00,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####,####
01-Well-A7,2024-11-22 14:26:48,90.0,22915,7121,19818,254.53,79.10,264.37,615805.8,985474.5,611278.9,1394539.3,1706576.4,1386449.6,989360.3,2379973.0,981651.9,4652152.5,5497964.0,4637095.5,96311.0,207171.4,95503.2,34126.9,52132.9,33876.4,1900701.3,4528814.5,1889918.6
01-Well-B7,2024-11-22 14:29:01,90.1,66901,4735,57144,742.89,52.58,762.03,629786.7,1094058.1,626557.8,2269147.8,2347658.8,2264243.8,393081.8,2609969.8,396359.2,4531226.0,5196477.0,4511415.5,57777.9,236332.7,58273.6,64596.0,80008.5,64219.7,764436.3,4844488.0,769208.6
01-Well-C7,2024-11-22 14:31:28,90.1,38877,7064,33393,431.68,78.44,445.27,696597.9,1054779.3,693879.8,2126166.0,2056828.5,2115279.5,704223.1,2574006.3,710824.2,4218204.5,5470879.5,4207216.5,74897.1,220202.3,75298.2,48612.2,45387.1,48583.8,1390489.6,4975725.0,1400079.0
01-Well-D7,2024-11-22 14:33:50,18.6,9,0,1,0.48,0.00,0.34,787098.9,####,914408.8,4121947.0,####,4115372.3,117724.6,####,82932.1,5548032.5,####,5686894.0,41036.3,####,31828.1,59875.0,####,174995.5,235927.8,####,211714.0
01-Well-E7,2024-11-22 14:37:26,90.0,153320,18634,130777,1703.12,206.99,1744.69,653160.8,1046143.6,648513.5,2124122.8,2077517.6,2106222.0,561315.4,2563000.3,562306.6,3930875.3,4572994.0,3883681.8,64002.7,205312.8,63896.7,43880.3,46278.1,43277.9,1120947.1,4997851.0,1121283.6
01-Well-F7,2024-11-22 14:39:51,90.0,175885,34191,150774,1953.61,379.77,2011.26,502061.7,965724.6,499547.6,1413866.6,2050101.4,1405688.3,609734.3,2016895.3,611914.8,3565679.3,4333484.0,3534554.0,59211.0,157426.4,59312.4,26760.1,45247.4,26707.6,1238348.3,4106672.5,1240682.5
01-Well-G7,2024-11-22 14:44:11,14.0,1311,0,0,93.46,0.00,0.00,732518.4,####,####,2043295.0,####,####,725135.2,####,####,4586842.0,####,####,87831.9,####,####,91276.6,####,####,1549255.0,####,####
01-Well-H7,2024-11-22 14:46:31,47.7,19716,2761,14072,413.40,57.89,434.31,649191.9,1157232.0,648041.0,1874480.8,2039577.5,1852599.4,686038.6,2740626.8,702068.7,4476808.5,5438427.5,4449421.0,69782.0,222278.8,70873.1,42468.1,52997.9,40779.5,1265932.5,4943474.0,1291093.4
01-Well-A8,2024-11-22 14:51:14,90.0,10200,1960,8772,113.32,21.77,117.04,641565.1,1024363.1,640810.3,1842425.4,2077665.9,1836691.3,723757.0,2487535.3,726410.5,4665657.5,5597552.0,4649379.5,89385.5,217551.2,89470.8,49418.7,52484.0,48907.0,1459209.9,4902342.0,1458342.0
